손뼉도 마주쳐야 소리가 난다.	It takes two to tango.
제 눈에 안경.	Beauty is in the eye of the beholder.
가자니 태산이요, 돌아서자니 숭산이라  (진퇴양란, 사면초가)	Between the devil and the blue deep sea.
가는 토끼 잡으려다 잡은 토끼 놓친다.	He who pursues two hares catches neither.
티끌모아 태산	Drop by drop fills the tub. / Many a little makes a mickle.
급할수록 돌아가라.	More haste, less speed.(=Haste makes waste.)
타산지석	By other's faults wise men correct their own.
눈에는 눈, 이에는 이.	An eye for an eye.
옷이 날개다.	Fine feathers make fine birds.
모르는 게 약이다.	Ignorance is bliss.
재주는 곰이 부리고 돈은 되놈이 가져간다.	One man sow and another reaps.
나무만 보고 숲은 보지 못한다.	One cannot see the woods for the trees.
콩으로 메주 쑨다고 해도 안 믿는다.	You've cried wolf too many times.
쉽게 얻은 것은 쉽게 없어진다.	Easy come, easy go.
시작이 반이다.	Well begun, half done.
미꾸라지 한 마리가 온 웅덩이 흐린다.	One rotten apple spoils the barrel.
붓은 칼보다 강하다.	The pen is mightier than the sword.
호랑이도 제 말 하면 온다.	Talk of the devil and he will appear.
미운 아이 떡하나 더 주어라.	Spare the rod and spoil the child.
지렁이도 밟으면 꿈틀한다.	Even a worm will turn.
갈수록 태산	Out of the frying pan into the fire.
호랑이를 잡으려면 호랑이굴로 들어가야 한다.	Nothing venture, nothing have.
무소식이 희소식	No news is good news.
쇠귀에 경읽기	None are so blind as those who won't see.
나중에 웃는 자가 진짜 웃는다.	He laughs best who laughs last.
필요는 발명의 어머니.	Necessity is the mother of invention.
돈이면 안되는 일 없다.	Money makes the mare go. Money is everything.
남의 떡이 커 보인다.	The grass is greener on the other side of the fence.
돌다리도 두들겨 보고 건너라.	Look before you leap.
눈에서 멀어지면 마음에서도 멀어진다.	Long absent, soon forgotten. / Out of sight, out of mind.
소 잃고 외양간 고치기.	Lock the stable after the horse is stolen.
긁어 부스럼 만들지 마라.	Let sleeping dogs lie.
불행은 겹친다.	It never rains but it pours.
이미 엎지러진 물이다.	It is no use crying over spilt milk.
선무당이 사람 잡는다.	A little learning is a dangerous thing.
시장이 반찬.	Hunger is the best sauce.
하늘은 스스로 돕는 자를 돕는다.	Heaven helps those who help themselves.
짚신도 제 짝이 있다.	Every Jack has his Jill.
대접받으려거든 남을 대접하여라.	Do to others as you would have them do to you.
김치 국물부터 마시지마라.	Don't count your chickens before they are hatched.
피는 물보다 더 진하다.	Blood is thicker than water.
호미로 막을 일을 가래로 막다.	A stitch in time saves nine.
예술은 길고 인생은 짧다.	Art is long, life is short.
어려울 때 친구가 참된 친구다.	A friend in need is a friend indeed.
물에 빠진 사람은 지푸라기라도 잡는다.	A drowning man will catch at a straw.
자라보고 놀란가슴 솥뚜껑보고 놀란다.	A burned child dreads the fire.
솜씨 없는 일꾼 연장만 나무란다.	A bad workman always blames his tools.
양지가 음지되고 음지가 양지된다.	Life is full of ups and downs.
뜻이 있는 곳에 길이 있다.	Where there is a will, there is a way.
로마에 가면 로마인의 풍습에 따르라.	When you are in Rome, do as the Romans do.
호랑이 없는 골에는 토끼가 스승이다.	When the cat is away, the mice will play.
한 귀로 듣고 한 귀로 흘린다.	In one ear and out the other.
똥 묻은 개가 겨 묻은 개 나무란다.	The pot calls the kettle black.
낮말은 새가 듣고 밤말은 쥐가 듣는다.	Walls have ears.
한 사람의 꾀보다 두 사람의 꾀가 낫다.	Two heads are better than one.
사공이 많으면 배가 산으로 간다.	Too many cooks spoil the broth.
모로 가도 서울만 가면 된다.	The end justifies the means.
세월은 유수와 같다.	Time flies like an arrow.
세월은 사람을 기다리지 않는다.	Time and tide waits for no man.
내 손가락에 장을 지지겠다.	I will eat my hat.
아니 땐 굴뚝에 연기 날까.	There is no smoke without fire.
쥐구멍에도 볕들 날 있다.	Every dog has his day. [출처] 한국속담/영어속담/한국속담 영어로 알아보기/한국어속담영어속담|작성자 백호
