,speaker,transcript,translation
0,신하,옥황상제님의 아드님께서 오신다! 예를 갖춰라!,The Jade Emperor's son is coming! Prepare yourselves!
1,옥황상제 아들,지상의 왕은 황금 1만냥을 함경도 기근 지역에 보냈느냐?,"King of Earth, did you send the 10,000 gold coins to the famine-stricken area of Hamgyeong-do?"
2,왕,"아, 예. 그제 제 꿈에 나타나 하명하신대로 한 치 틀림없이 그리 하였습니다.","Oh, yes. Just as you commanded in my dream the other day, I did so without a single error."
3,옥황상제 아들,"하늘에서 그대의 덕을 높이사 그대가 하늘로 돌아올 때 7배, 70배, 700배로 갚아줄 것이다.","The heavens recognize your virtue, and when you return to the heavens, you will be repaid sevenfold, seventyfold, seven hundredfold."
4,왕,왕가의 보물을 보자시기에 그건 역시 준비했습니다.,"Since you asked to see the royal treasures, of course, I prepared them."
5,옥황상제 아들,지상의 왕이 보기보다 아주 똘똘하구나.,The earthly king is quite clever.
6,왕,예.,Yes.
7,옥황상제 아들,헌데 궁녀들은 어디에?,But where are the court ladies?
8,왕,궁녀들은 어찌하여 그러시는지.,Why do you ask about the court ladies?
9,옥황상제 아들,너는 연불한다고 궁녀들이 술 좀 따라주면 좋겠는데.,"I'm chanting Buddhist scriptures, and it would be nice if the court ladies could pour me some drinks."
10,옥황상제 아들,가락이 마음에 안 드는구나.,I don't like the tune.
11,옥황상제 아들,넌 하루에 대변은 몇 번이나 누느냐?,How many times a day do you defecate?
12,궁녀1,네? 아룁게 황송하오나.,Pardon? How dare I...
13,옥황상제 아들,"황송은 무슨, 괜찮다. 말해라.","There's no need for such formality. It's fine, just tell me."
14,궁녀1,"예, 3일에 한 번 눕니다.","Yes, I do it once every three days."
15,옥황상제 아들,너는?,And you?
16,궁녀2,하루에 세 번이나 눕니다.,I do it three times a day.
17,옥황상제 아들,건강한 네가 따라봐라.,"You, the healthy one, pour me a drink."
18,궁녀2,네.,Yes.
19,옥황상제 아들,왕은 고개를 들라.,"King, raise your head."
20,왕,내 본시 그림 그리기를 즐겨. 나무를 그리면 나무가 점점 자라고 짐승을 그리면 그림에서 튀어나오니 내 재주가 아까워 그런데.,"I enjoy painting. When I paint a tree, it grows. When I paint an animal, it comes to life from the painting. I feel my talent is wasted..."
21,옥황상제 아들,어떤가?,What do you think?
22,왕,그림이 살아 움직이는 것 같습니다. 특히 저 주인 없는 빈 말은 인간의 고독함을 상징하는 것 같습니다만.,It's as if the painting is alive and moving. Especially that empty horse without an owner seems to symbolize human loneliness.
23,옥황상제 아들,어리석구나.,You are foolish.
24,왕,송구.,I apologize.
25,옥황상제 아들,이 도사 전우치가 타고 갈 말이니라.,This is the horse that Taoist Jeon Woo-chi will ride.
26,왕,"예, 도사 전우치가 타고 갈.","Yes, the horse that Taoist Jeon Woo-chi will ride."
27,신하,전우치?,Jeon Woo-chi?
28,신하,오십니까?,Is that him?
29,신하,막나니 전우치.,"That rascal, Jeon Woo-chi."
30,전우치,나를 아는가? 유명하면 아무리 이름을 숨긴다고 해도 숨겨지는 것도 아니고.,"Do you know me? When you're famous, no matter how hard you try to hide your name, it doesn't stay hidden."
31,신하,거참.,"Well, well."
32,전우치,감히 도사놈이 주상을.,How dare this Taoist punk approach the king.
33,전우치,도사는 무엇이냐? 도사는 사람을 다스린다.,What is a Taoist? A Taoist governs people.
34,전우치,마른 하늘에 비를 내리고.,Makes rain fall from clear skies.
35,전우치,땅을 접어 달리며.,Folds the earth and runs.
36,전우치,날카로운 검을 바람처럼 휘둘러.,Wields a sharp sword like the wind.
37,전우치,천하를 가르고.,Divides the world.
38,전우치,그 검을 붓처럼 다룰 줄 알아야.,And must know how to wield that sword like a brush.
39,전우치,가련한 사람을 돕는 게 바로 도사의 일.,Helping those in need is the work of a Taoist.
40,전우치,무릇 생선은 대가리부터 썩는 법. 왕과 대신들이 기근에 시달리는 백성들을 보살피지 않아. 이 도사 전우치가 친히 백성들 신부름을 하고자 왔으니 공치사 줄 건 받을 일도 아니고.,"As they say, fish rot from the head down. Since the king and his officials don't care for the famine-stricken people, this Taoist Jeon Woo-chi has come personally to run errands for them.  And I'm not looking for praise or rewards."
41,전우치,내가 이 병목을 치면 니들이 어떻게 될 것 같으냐?,"If I hit this bottle, what do you think will happen to you guys?"
42,전우치,왕의 거울은 내가 가져가봐.,I'll take the King's mirror.
43,왕,전국 도사들에게 전우치를 잡게.,Command all Taoists in the nation to capture Jeon Woo-chi!
