,speaker,transcript,translation
0,신하,옥황상제님의 아드님께서 오신다! 예를 갖춰라!,O filho do Imperador de Jade está vindo! Preparem-se para mostrar respeito!
1,옥황상제 아들,지상의 왕은 황금 1만냥을 함경도 기근 지역에 보냈느냐?,O rei terreno enviou os 10.000 nyang de ouro para a área de fome em Hamgyong?
2,왕,"아, 예. 그제 제 꿈에 나타나 하명하신대로 한 치 틀림없이 그리 하였습니다.","Ah, sim. Exatamente como você ordenou em meu sonho outro dia, eu o fiz sem nenhum erro."
3,옥황상제 아들,"하늘에서 그대의 덕을 높이사 그대가 하늘로 돌아올 때 7배, 70배, 700배로 갚아줄 것이다.","O céu aprecia sua virtude e a recompensará sete vezes, setenta vezes, setecentas vezes quando você retornar ao céu."
4,왕,왕가의 보물을 보자시기에 그건 역시 준비했습니다.,"Como você queria ver os tesouros da família real, eu também os preparei."
5,옥황상제 아들,지상의 왕이 보기보다 아주 똘똘하구나.,O rei terreno é mais inteligente do que parece.
6,왕,예.,Sim.
7,옥황상제 아들,헌데 궁녀들은 어디에?,Mas onde estão as damas da corte?
8,왕,궁녀들은 어찌하여 그러시는지.,Por que você pergunta sobre as damas da corte?
9,옥황상제 아들,너는 연불한다고 궁녀들이 술 좀 따라주면 좋겠는데.,Eu gostaria que as damas da corte me servissem um pouco de bebida enquanto eu oro.
10,옥황상제 아들,가락이 마음에 안 드는구나.,Eu não gosto da melodia (música).
11,옥황상제 아들,넌 하루에 대변은 몇 번이나 누느냐?,Quantas vezes você defeca por dia?
12,궁녀1,네? 아룁게 황송하오나.,Com licença? Estou muito envergonhada.
13,옥황상제 아들,"황송은 무슨, 괜찮다. 말해라.","Não precisa ter vergonha, tudo bem. Pode falar."
14,궁녀1,"예, 3일에 한 번 눕니다.","Sim, uma vez a cada três dias."
15,옥황상제 아들,너는?,E você?
16,궁녀2,하루에 세 번이나 눕니다.,Três vezes ao dia.
17,옥황상제 아들,건강한 네가 따라봐라.,"Você, a saudável, me sirva."
18,궁녀2,네.,Sim.
19,옥황상제 아들,왕은 고개를 들라.,"Rei, levante a cabeça."
20,왕,내 본시 그림 그리기를 즐겨. 나무를 그리면 나무가 점점 자라고 짐승을 그리면 그림에서 튀어나오니 내 재주가 아까워 그런데.,"Eu gosto de pintar. Quando eu desenho uma árvore, ela cresce, e quando eu desenho um animal, ele sai da pintura. É uma pena meu talento."
21,옥황상제 아들,어떤가?,O que você acha?
22,왕,그림이 살아 움직이는 것 같습니다. 특히 저 주인 없는 빈 말은 인간의 고독함을 상징하는 것 같습니다만.,Parece que a pintura está viva. Especialmente aquele cavalo sem dono parece simbolizar a solidão humana.
23,옥황상제 아들,어리석구나.,Que tolo.
24,왕,송구.,Desculpe-me.
25,옥황상제 아들,이 도사 전우치가 타고 갈 말이니라.,Este é o cavalo que o Taoísta Jeon Woo-chi montará.
26,왕,"예, 도사 전우치가 타고 갈.","Sim, que o Taoísta Jeon Woo-chi montará."
27,신하,전우치?,Jeon Woo-chi?
28,신하,오십니까?,Você está vindo?
29,신하,막나니 전우치.,"Jeon Woo-chi, o imprudente."
30,전우치,나를 아는가? 유명하면 아무리 이름을 숨긴다고 해도 숨겨지는 것도 아니고.,Você me conhece? Não importa o quanto você tente esconder seu nome se você for famoso.
31,신하,거참.,Nossa.
32,전우치,감히 도사놈이 주상을.,Como ousa um taoísta desrespeitar Sua Majestade?
33,전우치,도사는 무엇이냐? 도사는 사람을 다스린다.,O que é um taoísta? Um taoísta governa as pessoas.
34,전우치,마른 하늘에 비를 내리고.,Fazer chover em um céu claro.
35,전우치,땅을 접어 달리며.,Dobrar a terra e correr.
36,전우치,날카로운 검을 바람처럼 휘둘러.,Brandir uma espada afiada como o vento.
37,전우치,천하를 가르고.,Dividir os céus.
38,전우치,그 검을 붓처럼 다룰 줄 알아야.,Você deve saber como manejar essa espada como um pincel.
39,전우치,가련한 사람을 돕는 게 바로 도사의 일.,Ajudar os necessitados é o trabalho de um taoísta.
40,전우치,무릇 생선은 대가리부터 썩는 법. 왕과 대신들이 기근에 시달리는 백성들을 보살피지 않아. 이 도사 전우치가 친히 백성들 신부름을 하고자 왔으니 공치사 줄 건 받을 일도 아니고.,"O peixe apodrece da cabeça para baixo. O rei e seus ministros não cuidam das pessoas que sofrem com a fome. Este Taoísta Jeon Woo-chi veio pessoalmente para servir ao povo, então não há necessidade de elogios ou recompensas."
41,전우치,내가 이 병목을 치면 니들이 어떻게 될 것 같으냐?,O que você acha que vai acontecer se eu bater neste vaso?
42,전우치,왕의 거울은 내가 가져가봐.,Eu vou levar o espelho do rei.
43,왕,전국 도사들에게 전우치를 잡게.,Digam a todos os taoístas do país para capturar Jeon Woo-chi.
